,account,description,amount,pred_category,correct_category
278,AMEX,SHOPPERS DRUG MART #082 TORONTO,25.06,food_drink,food_drink
298,AMEX,TWILIGHT CAFE 001 TORONTO,6.78,food_drink,food_drink
274,AMEX,GYMSHARK SOLIHULL,-75.94,income_government,income_reimbursement
204,RBC_Chequing,Email Trfs,1475.0,etransfer_out,housing
429,AMEX,TIM HORTONS #2387 TORONTO,9.92,food_drink,food_drink
452,BMO_MASTERCARD,INDIAN BIRIYANI HOUSE TORONTO ON,15.52,food_drink,food_drink
612,BMO_MASTERCARD,BEEF STEAK RESTAURANT BEISEKER AB,15.99,food_drink,food_drink
299,BMO_MASTERCARD,TRSF FROM/DE ACCT/CPT 2503-XXXX-940,-303.96,etransfer_in,etransfer_in
81,RBC_Chequing,Withdrawal,140.0,etransfer_out,other
227,BMO_CHECKING,AMEX FTD/RII,302.76,credit_card_payment,credit_card_payment
109,AMEX,DEACON BRODIES PUB INC. OTTAWA,48.07,food_drink,food_drink
248,BMO_CHECKING,NEW HONG FATT B,16.17,food_drink,food_drink
425,BMO_MASTERCARD,N15 STUDIO TORONTO ON,59.77,food_drink,personal_care
63,RBC_Visa,BANH MI BOYS TORONTO ON,5.65,food_drink,food_drink
547,CIBC_CC,"FARM TO TABLE VANCOUVER, BC",3.49,food_drink,groceries
72,RBC_Chequing,STAFF - PAYROLL,-1592.44,income_wages,income_wages
574,BMO_MASTERCARD,REAL FRUIT BUBBLE TEA TORONTO ON,7.9,food_drink,food_drink
284,BMO_CHECKING, TF 0005191230208404641,303.96,credit_card_payment,credit_card_payment
118,AMEX,FANTUAN DELIVERY BURNABY,17.75,food_drink,food_drink
600,BMO_MASTERCARD,TRSF FROM/DE ACCT/CPT 2503-XXXX-940,-419.24,credit_card_payment,transfer_in
291,RBC_Chequing,Email Trfs,6.04,etransfer_out,etransfer_out
380,BMO_CHECKING,INTERAC ETRNSFR SENT JOANNA YIP 202311501154B6F18,88.08,etransfer_out,etransfer_out
212,RBC_Chequing,E-TRF AUTODEPOSIT,-1000.0,etransfer_in,etransfer_in
140,BMO_CHECKING, TF 0005191230208404641,359.3,credit_card_payment,credit_card_payment
388,BMO_CHECKING,NEW HONG FATT B,46.44,food_drink,food_drink
322,BMO_MASTERCARD,EGG CLUB WELLESLEY TORONTO ON,9.71,food_drink,food_drink
218,RBC_Chequing,Email Trfs Can,20.0,etransfer_out,etransfer_out
462,BMO_MASTERCARD,DOMINOS PIZZA #39032 604-733-2118 BC,100.14,food_drink,food_drink
511,CIBC_CC,"CHOO TEA BURNABY, BC",8.06,food_drink,food_drink
